Fp1-AV,F7-AV,T3-AV,T5-AV,F3-AV,C3-AV,P3-AV,O1-AV,Fp2-AV,F8-AV,T4-AV,T6-AV,F4-AV,C4-AV,P4-AV,O2-AV,Fz-AV,Cz-AV,Pz-AV,A1-AV,A2-AV
-7.65,-2.05,1.38,1.49,5.48,3.24,-1.01,14.55,-22.98,-19.04,1.39,-11.18,1.46,3.65,10.81,-4.5,4.65,35.09,-2.42,10.87,-23.25
-6.16,-0.45,-2.12,5.41,5.86,4.0,0.1,17.03,-26.75,-17.75,3.32,-16.92,1.01,2.23,9.76,-5.23,4.11,31.18,-2.52,17.75,-23.82
-3.75,1.38,-3.25,7.96,7.37,5.17,1.57,10.63,-27.72,-14.22,8.15,-27.07,2.2,2.33,9.69,-6.36,5.67,24.48,-1.39,20.04,-22.9
-1.09,3.07,-2.61,8.14,10.05,6.17,2.97,0.81,-25.08,-9.31,11.29,-38.68,4.85,3.86,10.19,-7.23,8.84,17.61,0.42,16.84,-21.24
1.11,4.18,-0.63,6.68,12.99,6.72,3.88,-6.59,-20.36,-4.49,11.15,-49.68,7.79,5.51,10.88,-6.59,12.67,10.78,2.94,9.95,-19.0
2.14,3.88,2.3,4.32,15.2,6.78,3.89,-8.79,-15.48,-1.35,7.55,-57.22,9.7,6.58,11.29,-4.8,15.8,7.7,4.83,2.59,-17.05
1.52,2.66,5.32,1.05,15.48,6.12,2.53,-8.9,-11.5,-0.49,3.98,-57.45,10.38,7.65,11.0,-4.05,16.78,11.91,4.4,-2.22,-16.33
-0.42,1.96,9.8,-1.79,13.45,5.35,0.51,-8.52,-9.18,-1.7,0.63,-50.19,9.93,8.0,9.54,-4.62,15.43,19.53,2.22,-3.51,-16.67
-2.52,0.97,13.27,-3.27,9.79,4.77,-1.59,-6.73,-8.88,-3.5,-3.1,-37.54,9.11,7.51,6.99,-6.35,12.11,29.34,-1.23,-1.3,-18.12
-3.93,0.6,12.85,-3.39,5.79,4.25,-3.31,-4.62,-11.07,-6.32,-4.06,-21.93,7.88,7.04,4.24,-9.17,7.47,39.13,-5.19,4.15,-20.66
-4.76,2.3,10.03,-2.38,2.67,4.29,-3.96,-4.35,-14.03,-8.29,-4.06,-8.14,6.35,6.25,2.01,-12.14,3.09,43.85,-8.11,11.94,-22.75
-4.41,4.36,7.41,-0.96,1.16,5.24,-3.13,-7.03,-14.93,-7.68,-4.52,-1.14,5.84,5.18,0.94,-13.63,0.95,39.46,-8.42,18.05,-23.01
-2.86,6.47,6.42,-0.31,1.16,6.06,-1.11,-10.18,-14.18,-6.28,-3.23,-2.73,6.27,4.71,1.57,-12.93,0.93,30.54,-6.71,19.17,-22.9
-1.22,7.6,7.64,-0.12,2.47,6.78,1.42,-13.63,-12.75,-3.75,-1.26,-11.05,7.31,5.0,3.33,-10.75,2.12,20.88,-3.92,15.96,-22.26
0.24,7.77,11.12,0.83,4.77,7.68,4.04,-17.91,-11.2,-1.34,0.63,-23.19,8.87,5.65,5.29,-8.36,4.35,11.65,-0.44,9.79,-20.3
2.74,8.41,13.56,1.53,6.9,7.69,5.56,-21.45,-8.71,-0.68,2.05,-34.7,10.51,6.35,6.13,-6.52,6.49,7.05,2.01,2.93,-17.77
4.69,8.19,13.43,1.37,7.62,6.25,5.45,-22.54,-5.45,-1.14,2.35,-40.39,11.4,6.9,5.22,-5.43,7.03,9.9,1.86,-1.43,-15.26
4.54,6.51,9.86,0.83,5.83,3.89,4.39,-17.96,-2.82,-0.91,1.21,-38.05,11.46,6.86,3.03,-3.17,6.03,14.81,0.26,-2.72,-13.92
3.13,4.14,4.25,-0.0,2.32,0.99,2.8,-10.87,-2.86,0.14,-2.11,-28.18,10.82,6.46,0.63,-0.33,3.92,21.44,-2.07,-0.68,-14.08
0.76,2.22,-1.18,-0.05,-2.02,-1.83,1.34,-2.82,-6.88,-0.33,-5.37,-13.54,9.39,5.78,-1.35,0.91,1.24,28.77,-4.71,4.66,-15.1
-1.67,1.96,-3.58,1.15,-5.46,-3.63,0.8,2.72,-13.91,-2.49,-6.86,0.59,7.71,4.73,-2.49,1.26,-1.01,31.83,-6.35,11.21,-16.61
-4.64,1.72,0.06,3.73,-7.0,-3.33,1.93,3.05,-21.67,-4.93,-5.78,8.97,6.23,3.61,-2.2,3.12,-2.0,26.7,-5.4,15.79,-18.04
-7.21,2.55,3.73,7.25,-6.3,-1.57,4.7,-1.46,-27.34,-6.93,-4.63,9.4,5.31,3.18,-0.37,4.56,-1.34,17.92,-1.94,18.49,-18.18
-8.94,3.3,8.36,10.96,-4.27,0.74,8.24,-8.77,-28.52,-8.33,-4.63,2.62,5.23,3.75,2.2,4.59,0.19,8.46,2.81,19.08,-17.15
-9.07,3.75,13.74,12.44,-1.74,2.61,11.32,-16.5,-23.86,-8.05,-4.72,-9.01,5.86,4.55,4.53,4.02,2.08,-0.58,7.59,15.84,-14.93
-8.12,3.42,17.31,10.77,0.08,3.27,12.48,-21.64,-14.75,-5.72,-2.6,-20.71,6.03,5.21,5.64,4.61,3.3,-5.33,10.72,8.45,-12.59
-7.55,2.26,16.99,7.57,-0.02,2.03,11.51,-22.21,-6.42,-3.41,1.76,-26.27,4.7,5.52,5.63,6.0,2.7,-0.75,10.87,1.07,-12.02
-7.18,1.13,15.79,5.92,-1.36,0.43,9.7,-18.26,-1.14,-1.21,2.28,-24.81,2.45,4.78,4.18,5.45,1.17,7.6,9.09,-2.49,-13.51
-7.35,-0.01,15.21,6.27,-3.33,-0.9,7.48,-11.16,0.89,-0.31,1.84,-18.77,-0.58,3.41,1.69,1.13,-1.26,16.96,6.08,-1.08,-16.06
-7.87,-0.28,12.17,8.12,-5.59,-2.28,5.28,-3.29,-0.41,-0.62,1.32,-9.35,-4.12,1.56,-0.7,-4.45,-4.44,25.89,2.63,5.52,-18.86
-8.61,-0.41,10.52,9.82,-7.34,-2.98,3.7,1.88,-4.02,-0.79,1.05,0.2,-7.26,-0.75,-2.06,-7.98,-7.17,30.29,0.18,13.73,-21.78
-8.18,-0.05,10.44,10.49,-7.41,-2.32,2.98,2.71,-6.88,-0.24,1.68,4.82,-8.85,-2.97,-2.12,-7.02,-7.95,26.58,-0.01,18.63,-24.0
-7.94,-0.83,11.5,9.91,-6.98,-1.33,3.16,1.94,-7.3,1.44,-0.47,4.43,-9.42,-5.17,-0.96,4.73,-7.47,18.6,1.4,17.03,-25.84
-8.07,-2.12,12.74,8.68,-5.95,-0.6,4.05,0.22,-4.52,4.94,-2.22,-1.37,-8.74,-6.46,0.56,16.64,-6.11,10.08,3.55,11.29,-26.19
-9.35,-4.26,14.7,7.71,-4.58,0.2,5.4,-0.54,0.61,8.35,0.41,-11.69,-7.11,-6.55,1.86,23.65,-4.47,1.78,6.2,2.39,-24.44
-11.59,-7.83,13.62,6.56,-3.38,1.38,6.99,-0.31,6.07,11.06,4.16,-20.51,-5.17,-5.13,3.24,26.94,-3.14,-2.78,8.89,-7.06,-21.77
-14.15,-10.39,9.93,5.39,-3.19,2.07,8.38,1.76,10.74,13.76,4.16,-25.11,-3.41,-2.91,3.69,21.79,-2.72,-0.39,10.25,-11.46,-17.92
-16.72,-11.82,5.35,3.51,-4.5,2.24,9.2,8.48,13.56,14.85,1.76,-24.57,-2.58,-1.58,2.62,16.58,-3.57,3.93,10.46,-11.27,-15.67
-18.83,-12.34,1.17,0.96,-6.76,2.13,9.12,12.51,13.84,13.86,-0.42,-17.99,-2.54,-1.08,0.95,15.34,-5.72,10.92,9.56,-7.96,-16.59
-20.06,-12.39,-2.53,-0.59,-9.02,2.16,8.48,14.31,11.2,11.28,0.67,-8.53,-2.39,-0.57,-0.65,9.34,-8.36,20.04,7.91,-0.63,-19.75
-21.4,-12.15,-3.49,-0.79,-11.3,2.18,8.24,20.35,6.39,8.7,2.1,-0.79,-2.53,-0.92,-1.92,4.07,-11.16,24.61,6.52,6.84,-23.58
-23.15,-11.51,-3.42,0.87,-12.8,2.6,9.19,25.36,3.72,8.85,3.23,0.8,-1.68,-1.64,-1.99,-0.54,-12.49,20.97,6.79,12.17,-25.25
-24.83,-11.4,-2.05,3.63,-12.79,3.33,10.9,24.15,3.86,9.97,6.51,-4.22,-0.02,-1.21,-0.39,-5.32,-12.11,14.0,8.4,15.28,-25.68
-25.29,-10.94,1.27,6.47,-10.89,4.59,12.78,16.72,5.69,11.69,8.71,-13.12,1.97,-0.24,2.13,-9.75,-10.08,7.11,10.68,15.48,-24.95
-23.91,-10.9,4.95,8.57,-7.48,6.39,14.27,2.97,7.64,13.85,10.69,-22.74,4.05,1.67,5.47,-11.92,-6.5,1.61,13.63,10.47,-22.87
-20.87,-10.88,7.64,9.63,-3.32,8.21,15.08,-9.88,9.29,14.89,10.36,-30.85,5.79,4.25,8.39,-13.27,-2.66,1.0,16.06,1.98,-20.91
-18.34,-10.63,8.07,9.6,-0.64,8.58,14.82,-15.44,11.4,13.91,6.65,-33.88,6.47,6.7,9.65,-13.89,-0.69,7.32,16.15,-5.42,-20.35
-18.21,-11.22,5.83,8.19,-1.07,7.35,13.72,-11.48,12.73,10.93,1.74,-29.12,5.48,8.08,9.14,-8.59,-1.29,14.2,14.9,-10.29,-21.05
-18.39,-11.76,3.22,4.86,-3.18,5.64,12.16,-3.46,11.97,6.26,-1.94,-19.36,3.39,8.94,7.5,-1.3,-4.05,21.19,12.69,-11.92,-22.39
-18.7,-12.14,2.84,2.21,-5.55,4.86,10.59,3.05,9.53,1.61,-3.83,-8.97,1.54,9.76,5.06,-0.69,-7.23,27.71,10.2,-8.21,-23.48
-18.89,-11.41,2.25,1.99,-6.52,5.5,9.66,3.0,6.99,-0.47,-4.49,-1.63,1.2,10.59,2.74,-6.37,-8.64,29.49,8.58,0.26,-23.79
-18.47,-9.67,2.34,3.42,-5.66,7.1,9.24,-3.72,5.4,0.1,-2.43,-0.17,2.73,11.44,1.26,-13.6,-7.47,23.4,8.97,8.57,-22.92
-17.78,-8.06,4.9,3.64,-3.31,8.44,8.85,-14.9,5.22,1.03,3.97,-4.25,5.98,12.31,0.88,-17.67,-4.89,13.88,10.43,13.19,-22.08
