Fp1-AV,F7-AV,T3-AV,T5-AV,F3-AV,C3-AV,P3-AV,O1-AV,Fp2-AV,F8-AV,T4-AV,T6-AV,F4-AV,C4-AV,P4-AV,O2-AV,Fz-AV,Cz-AV,Pz-AV,A1-AV,A2-AV
-27.39,-41.73,-54.03,-44.95,-76.74,0.33,51.74,-25.02,281.56,50.0,10.66,-7.13,-19.02,-7.77,-5.43,-61.18,-20.05,-0.1,-0.44,-7.54,4.35
-28.17,-40.31,-53.46,-48.07,-76.09,-2.06,48.83,-30.9,281.09,49.98,9.66,-4.02,-17.77,-5.61,-5.0,-60.32,-19.41,2.19,-1.05,-5.36,5.92
-30.2,-40.77,-50.97,-52.12,-76.27,-4.16,46.05,-32.77,278.44,50.15,9.18,1.47,-17.04,-4.38,-4.74,-56.24,-19.39,3.25,-1.76,-4.21,6.43
-31.33,-40.57,-48.58,-56.49,-76.47,-5.39,44.08,-28.92,275.33,50.6,8.99,4.87,-16.65,-3.82,-4.67,-56.74,-19.39,1.97,-2.01,-2.87,7.84
-32.53,-39.75,-45.65,-59.47,-75.46,-5.71,43.22,-20.32,272.73,50.59,8.22,4.71,-16.1,-3.99,-4.35,-58.29,-19.26,-3.7,-1.33,-2.56,8.8
-34.2,-39.31,-40.47,-59.94,-73.84,-5.1,42.47,-17.5,272.2,50.27,7.25,2.09,-14.09,-4.24,-3.47,-60.23,-19.27,-8.38,-0.6,-2.89,8.96
-35.03,-37.94,-38.28,-58.43,-72.37,-4.47,40.64,-24.01,274.09,50.9,7.83,-0.86,-10.38,-4.21,-2.45,-61.8,-19.02,-9.73,-0.45,-3.54,9.3
-34.92,-36.87,-40.57,-57.42,-71.18,-4.91,38.05,-31.34,276.18,51.91,8.95,-2.83,-7.17,-4.3,-1.16,-57.46,-18.65,-10.2,-0.6,-5.04,9.43
-33.24,-36.24,-43.28,-56.57,-69.36,-5.25,35.55,-38.3,277.94,53.85,10.57,-5.58,-5.64,-4.06,-0.07,-56.52,-17.76,-7.76,-1.08,-6.62,9.46
-31.76,-35.31,-45.78,-57.39,-69.12,-5.63,33.27,-43.09,278.76,55.32,11.46,-7.06,-6.38,-4.05,0.49,-56.71,-17.57,-1.63,-2.46,-5.4,10.06
-30.86,-33.88,-48.33,-58.77,-68.98,-6.31,31.65,-44.04,279.11,57.15,11.15,-6.76,-7.74,-4.65,0.5,-59.66,-17.83,1.87,-3.84,-2.05,12.45
-29.63,-32.26,-49.94,-58.98,-68.34,-7.38,30.87,-40.41,278.44,58.4,9.52,-5.19,-9.73,-5.8,-0.28,-62.6,-18.84,2.44,-5.16,1.43,13.7
-28.42,-30.69,-49.9,-58.12,-68.98,-8.77,30.36,-34.87,275.67,57.75,7.15,-1.34,-12.92,-7.42,-1.68,-59.61,-20.95,1.34,-6.58,5.27,12.97
-26.92,-30.29,-49.4,-56.58,-69.41,-9.53,30.21,-29.37,272.67,56.47,5.83,2.5,-15.74,-9.08,-3.2,-55.9,-22.63,-2.76,-7.62,8.73,12.34
-25.14,-30.72,-49.84,-53.4,-69.29,-10.33,30.75,-23.16,270.86,56.5,6.12,3.64,-17.09,-10.12,-4.18,-55.15,-22.8,-11.13,-7.68,8.98,13.37
-22.8,-29.98,-50.29,-50.03,-68.87,-10.99,31.1,-24.56,270.81,57.35,8.1,2.74,-16.57,-9.89,-4.22,-57.8,-21.52,-18.19,-7.49,7.57,15.75
-19.68,-29.33,-50.16,-47.92,-67.28,-11.28,30.94,-30.96,271.69,58.11,9.87,0.33,-15.21,-8.8,-3.82,-61.34,-19.26,-21.15,-7.75,5.98,17.35
-16.87,-28.78,-50.91,-47.18,-64.56,-11.48,30.61,-34.78,272.55,58.79,11.22,-2.88,-12.84,-7.41,-3.06,-61.94,-16.78,-22.09,-8.19,0.83,16.07
-15.98,-28.86,-52.04,-46.32,-62.59,-11.97,30.22,-35.45,273.28,60.14,13.7,-6.44,-9.57,-5.65,-2.41,-64.8,-14.95,-20.3,-8.8,-5.06,14.23
-15.32,-28.16,-51.96,-45.5,-61.63,-12.26,29.53,-37.12,272.57,60.01,16.71,-7.99,-7.69,-3.71,-2.08,-68.37,-14.37,-14.7,-9.79,-9.36,11.61
-14.88,-28.08,-51.91,-46.6,-61.43,-12.48,28.65,-39.4,270.34,59.9,18.51,-7.15,-6.68,-1.85,-1.69,-70.14,-14.06,-10.54,-10.01,-10.47,10.27
-14.24,-28.6,-50.57,-50.7,-61.12,-11.86,27.91,-40.09,266.37,59.88,17.96,-5.12,-5.77,-0.17,-1.43,-70.87,-13.6,-8.15,-9.77,-9.36,9.53
