Fp1-AV,F7-AV,T3-AV,T5-AV,F3-AV,C3-AV,P3-AV,O1-AV,Fp2-AV,F8-AV,T4-AV,T6-AV,F4-AV,C4-AV,P4-AV,O2-AV,Fz-AV,Cz-AV,Pz-AV,A1-AV,A2-AV
-3.67,18.65,46.29,8.7,-14.15,-11.27,10.0,47.19,16.74,-25.59,7.47,9.54,-32.61,-29.58,19.69,3.27,-25.1,-53.55,6.61,-3.29,4.83
-7.71,22.47,48.58,11.23,-13.75,-11.65,15.39,48.52,5.1,-25.24,9.77,7.83,-35.15,-31.93,20.02,4.24,-27.99,-49.13,7.43,-5.23,7.44
-9.9,24.4,42.85,13.53,-15.18,-13.12,18.21,41.48,-8.36,-21.41,10.55,9.28,-31.59,-30.88,19.61,9.65,-28.55,-42.61,5.75,-5.45,11.92
-8.97,24.65,32.17,13.74,-17.38,-14.68,17.39,28.55,-19.47,-15.77,10.29,12.06,-23.83,-26.48,19.07,17.41,-27.04,-36.28,2.22,-3.98,16.49
-6.03,22.97,20.33,11.63,-19.09,-15.62,13.92,13.16,-25.28,-10.54,11.59,13.81,-15.47,-20.07,19.08,23.96,-24.55,-31.9,-1.11,0.44,18.8
-2.0,19.67,11.67,8.21,-21.09,-16.83,8.28,1.23,-23.2,-6.79,14.6,13.75,-9.18,-12.83,19.65,26.64,-21.32,-31.16,-3.41,6.41,17.68
1.85,16.08,10.18,4.7,-23.33,-18.28,2.1,-1.3,-12.71,-5.14,15.14,12.0,-6.66,-6.0,20.34,24.69,-17.81,-33.75,-4.79,9.21,13.54
3.88,13.29,17.96,2.63,-22.96,-17.83,-0.77,5.6,1.05,-7.24,10.88,7.86,-9.13,-2.46,20.57,17.97,-16.46,-37.74,-3.73,10.02,6.87
3.37,11.32,31.36,3.08,-20.52,-17.37,-0.8,18.18,13.59,-11.79,5.94,2.72,-14.77,-2.37,19.49,8.79,-16.93,-41.37,-1.7,9.66,0.56
0.87,10.46,43.71,5.07,-17.19,-16.66,1.49,31.95,21.89,-16.31,2.7,-1.85,-21.16,-4.56,17.15,0.46,-18.49,-42.61,-0.1,6.82,-3.17
-3.5,11.16,51.26,8.1,-13.4,-14.75,6.53,42.55,22.46,-19.63,0.57,-4.88,-26.45,-8.43,13.9,-4.44,-21.23,-40.2,1.08,3.43,-3.63
-8.41,12.47,51.7,11.75,-9.75,-11.84,13.31,45.73,15.31,-20.72,-1.33,-5.73,-28.49,-12.36,10.76,-4.39,-23.94,-34.26,2.43,-0.12,-1.55
-11.27,13.31,43.04,14.21,-8.59,-10.16,17.08,39.87,5.59,-18.21,-1.81,-3.53,-25.07,-13.29,8.21,0.65,-24.31,-26.53,1.77,-2.65,2.3
-11.06,12.46,28.89,13.93,-9.34,-8.92,16.74,27.26,-2.75,-13.98,-0.26,-0.05,-18.04,-11.04,7.06,8.26,-22.62,-19.53,-0.35,-2.62,6.48
-8.19,10.36,15.43,11.47,-10.32,-7.57,13.77,13.01,-7.64,-10.39,3.05,2.6,-10.63,-6.81,7.4,14.53,-19.64,-15.12,-1.93,-1.58,8.67
-3.43,6.97,6.4,7.54,-11.19,-7.03,8.23,2.27,-6.25,-8.31,6.36,4.0,-4.95,-1.22,8.78,17.13,-15.49,-14.47,-2.39,-0.62,8.17
1.63,4.02,3.54,2.96,-11.83,-7.49,1.27,-0.19,1.74,-8.72,6.38,4.54,-2.69,4.29,10.42,15.36,-11.22,-17.44,-2.35,0.38,5.84
5.35,2.56,9.01,-1.06,-10.07,-6.87,-2.9,5.88,11.65,-12.49,2.43,3.32,-5.54,7.06,11.97,9.11,-9.39,-22.13,0.02,0.86,1.47
6.0,2.88,19.8,-3.1,-7.77,-7.01,-4.57,17.21,20.15,-17.45,-0.98,1.41,-12.03,6.5,12.51,0.94,-9.66,-26.46,3.06,1.27,-2.55
3.96,4.05,31.36,-3.2,-5.26,-7.23,-3.87,30.01,24.35,-21.87,-3.48,-0.18,-19.6,3.68,11.94,-5.95,-11.39,-28.32,5.26,0.54,-4.77
0.51,7.42,38.72,-2.06,-2.33,-5.91,-0.25,38.44,21.24,-24.69,-6.56,-0.79,-25.88,-0.45,10.88,-9.7,-14.39,-26.14,6.99,-0.78,-4.35
-2.74,12.6,38.29,-0.26,0.64,-3.17,5.3,37.79,10.43,-25.15,-9.88,-0.3,-28.57,-4.21,10.12,-9.04,-17.49,-20.07,9.0,-1.93,-1.62
