Fp1-AV,F7-AV,T3-AV,T5-AV,F3-AV,C3-AV,P3-AV,O1-AV,Fp2-AV,F8-AV,T4-AV,T6-AV,F4-AV,C4-AV,P4-AV,O2-AV,Fz-AV,Cz-AV,Pz-AV,A1-AV,A2-AV
18.4,14.48,-17.41,-15.73,12.65,4.63,3.06,-22.45,8.25,-9.6,5.35,-5.65,11.16,2.93,0.54,3.06,-5.29,10.45,-0.76,-17.58,-0.09
21.74,12.97,-12.77,-15.66,15.13,4.0,2.99,-20.87,10.74,-10.89,5.01,-6.75,10.07,2.0,1.35,1.03,-5.48,7.99,-0.06,-16.99,-5.3
23.24,11.85,-4.44,-12.91,17.14,4.46,6.43,-18.42,9.83,-13.95,1.86,-8.28,7.92,0.26,2.99,-2.25,-7.13,5.42,3.66,-15.21,-12.26
23.64,11.93,3.4,-9.06,18.56,4.37,10.61,-15.87,6.44,-16.84,-2.13,-9.78,6.28,-1.35,4.36,-5.85,-8.93,3.34,7.63,-12.67,-18.03
23.17,13.15,8.61,-5.53,19.37,4.09,14.39,-14.24,1.16,-18.72,-4.39,-11.22,5.95,-2.61,5.11,-9.31,-10.71,2.16,10.81,-10.36,-21.03
21.68,14.72,10.73,-2.39,19.17,3.4,17.44,-14.02,-4.88,-19.31,-3.64,-11.88,6.88,-3.76,5.04,-11.36,-12.32,2.12,12.87,-9.99,-20.81
19.95,15.78,8.91,-0.39,16.44,-0.02,16.99,-14.56,-8.46,-17.86,-1.42,-9.34,9.64,-3.65,4.0,-9.93,-12.35,2.5,11.78,-11.47,-16.9
19.09,16.06,4.23,-1.43,12.7,-5.02,12.57,-15.38,-8.04,-15.27,0.44,-4.57,13.34,-2.22,2.61,-5.81,-10.9,2.79,7.22,-13.95,-8.88
19.12,15.53,-1.34,-5.07,10.1,-9.47,6.95,-16.77,-4.91,-12.72,3.1,0.16,17.06,0.18,2.27,-0.88,-8.88,2.95,2.35,-16.05,-3.97
19.76,14.18,-7.01,-9.85,8.63,-12.93,1.86,-19.03,-0.63,-10.86,7.5,3.85,19.71,3.07,3.36,3.23,-6.94,2.51,-0.87,-16.83,-2.79
